"program","year","month","site","meantemp","sdtemp","maxtemp","mintemp","nmsmts"
"CSUN",2005,8,"East Tektite",29.806238172043,0.189418760764384,30.343,29.165,365
"CSUN",2005,9,"East Tektite",30.3892527777778,0.209402882695749,30.849,29.765,360
"CSUN",2005,9,"Europa Bay",30.4673402777778,0.115746685438289,31,30.1,424
"CSUN",2005,9,"Neptunes Table",30.4673402777778,0.115746685438289,31,30.1,424
"CSUN",2005,9,"West Little Lameshur",30.4673402777778,0.115746685438289,31,30.1,424
"CSUN",2005,9,"White Point",30.4673402777778,0.115746685438289,31,30.1,424
"CSUN",2005,10,"East Tektite",29.5643817204301,0.362296969179897,30.722,28.99,372
"CSUN",2005,10,"Europa Bay",29.507752688172,0.378693830166823,31,28.593,744
"CSUN",2005,10,"Neptunes Table",29.507752688172,0.378693830166823,31,28.593,744
"CSUN",2005,10,"West Little Lameshur",29.507752688172,0.378693830166823,31,28.593,744
"CSUN",2005,10,"White Point",29.507752688172,0.378693830166823,31,28.593,744
"CSUN",2005,11,"East Tektite",28.8080143162393,0.330468829409258,29.464,28.122,361
"CSUN",2005,11,"Europa Bay",28.7252694444444,0.34240619166102,29.6,27.825,720
"CSUN",2005,11,"Neptunes Table",28.7252694444444,0.34240619166102,29.6,27.825,720
"CSUN",2005,11,"West Little Lameshur",28.7252694444444,0.34240619166102,29.6,27.825,720
"CSUN",2005,11,"White Point",28.7252694444444,0.34240619166102,29.6,27.825,720
"CSUN",2005,12,"East Tektite",27.3992392473118,0.465740541713235,28.468,26.793,372
"CSUN",2005,12,"Europa Bay",27.318438172043,0.435806978551878,28.6,26.598,744
"CSUN",2005,12,"Neptunes Table",27.318438172043,0.435806978551878,28.6,26.598,744
"CSUN",2005,12,"West Little Lameshur",27.318438172043,0.435806978551878,28.6,26.598,744
"CSUN",2005,12,"White Point",27.318438172043,0.435806978551878,28.6,26.598,744
"CSUN",2006,1,"East Tektite",26.5013817204301,0.358975189211632,26.965,25.623,372
"CSUN",2006,1,"Europa Bay",26.4359771505376,0.369478233653048,27.1,25.38,744
"CSUN",2006,1,"Neptunes Table",26.4359771505376,0.369478233653048,27.1,25.38,744
"CSUN",2006,1,"West Little Lameshur",26.4359771505376,0.369478233653048,27.1,25.38,744
"CSUN",2006,1,"White Point",26.4359771505376,0.369478233653048,27.1,25.38,744
"CSUN",2006,2,"East Tektite",26.2059047619047,0.103525492661504,26.451,25.768,336
"CSUN",2006,2,"Europa Bay",26.1695833333333,0.113888102413722,26.5,25.55,672
"CSUN",2006,2,"Neptunes Table",26.1695833333333,0.113888102413722,26.5,25.55,672
"CSUN",2006,2,"West Little Lameshur",26.1695833333333,0.113888102413722,26.5,25.55,672
"CSUN",2006,2,"White Point",26.1695833333333,0.113888102413722,26.5,25.55,672
"CSUN",2006,3,"East Tektite",26.5712558651026,0.276780952750434,27.308,26.109,371
"CSUN",2006,3,"Europa Bay",26.5324059139785,0.299775029452595,27.4,25.89,744
"CSUN",2006,3,"Neptunes Table",26.5324059139785,0.299775029452595,27.4,25.89,744
"CSUN",2006,3,"West Little Lameshur",26.5324059139785,0.299775029452595,27.4,25.89,744
"CSUN",2006,3,"White Point",26.5324059139785,0.299775029452595,27.4,25.89,744
"CSUN",2006,4,"East Tektite",27.3566694444444,0.250733941322466,28.023,26.989,360
"CSUN",2006,4,"Europa Bay",27.3429333333333,0.264737189766756,28.3,26.744,720
"CSUN",2006,4,"Neptunes Table",27.3429333333333,0.264737189766756,28.3,26.744,720
"CSUN",2006,4,"West Little Lameshur",27.3429333333333,0.264737189766756,28.3,26.744,720
"CSUN",2006,4,"White Point",27.3429333333333,0.264737189766756,28.3,26.744,720
"CSUN",2006,5,"East Tektite",28.1260376344086,0.499909301884364,29.115,27.333,372
"CSUN",2006,5,"Europa Bay",28.1296948924731,0.517235483746677,29.3,27.235,744
"CSUN",2006,5,"Neptunes Table",28.1296948924731,0.517235483746677,29.3,27.235,744
"CSUN",2006,5,"West Little Lameshur",28.1296948924731,0.517235483746677,29.3,27.235,744
"CSUN",2006,5,"White Point",28.1296948924731,0.517235483746677,29.3,27.235,744
"CSUN",2006,6,"East Tektite",28.9737388888889,0.100921111535264,29.24,28.692,360
"CSUN",2006,6,"Europa Bay",28.9543319444444,0.120893202312363,29.4,28.468,720
"CSUN",2006,6,"Neptunes Table",28.9543319444444,0.120893202312363,29.4,28.468,720
"CSUN",2006,6,"West Little Lameshur",28.9543319444444,0.120893202312363,29.4,28.468,720
"CSUN",2006,6,"White Point",28.9543319444444,0.120893202312363,29.4,28.468,720
"CSUN",2006,7,"East Tektite",28.7580349462366,0.126102658382031,29.015,28.27,372
